citekey,system_class,axis,pool_year,authors,title,journal,cr_year,doi,confidence,title_sim,partial,consensus,error,note
huang2023,mechanically_activated,Alloy/Activator,2023,Huang et al.,Effect of temperature on hydrogen generation and hydrolysis mechanism of Al–Sn–Bi composite materials,International Journal of Hydrogen Energy,2024,10.1016/j.ijhydene.2023.08.332,confirmed (bib),0.71,,https://consensus.app/papers/details/1f2bc11c9fd258ff8b758285a1ddbc25/,,
kale2021,waste_al,Waste/Activation,2021,Kale et al.,Pilot-scale hydrogen generation from the hydrolysis of black aluminum dross without any catalyst,Journal of the Energy Institute,2022,10.1016/j.joei.2021.11.005,confirmed (bib),0.72,,https://consensus.app/papers/details/3d2451c74667578b8a949b6664ad3625/,,
kandasamy2023,pure_al_alkali,Alkali/Temperature,2023,Kandasamy et al.,Hydrogen production using aluminum-water splitting: A combined experimental and theoretical approach,International Journal of Hydrogen Energy,2024,10.1016/j.ijhydene.2023.04.068,medium,0.67,,https://consensus.app/papers/details/1a57e744c2ce50e581fbda5f28adf3da/,,
knoks2025,waste_al,Waste/Activation,2025,Knoks et al.,Investigation of Aluminium White Dross for Hydrogen Generation Hydrolysis in Low-Concentration Alkali,Applied Sciences,2025,10.3390/app15052640,medium,0.71,,https://consensus.app/papers/details/8fc562f7fcf5559abef08018603a2722/,,
li2019,pure_al_alkali,Kinetics/SCM,2019,Li et al.,Research on hydrogen generation from rapid hydrolysis of aluminum in sodium fluoride solution,E3S Web of Conferences,2019,10.1051/e3sconf/201911803048,medium,0.67,,https://consensus.app/papers/details/221f4d9fb85951d9bba56e6cfb16577d/,,
manilevich2020,al_alloy,Alloy/Activator,2020,Manilevich et al.,"Studies of the Hydrolysis of Aluminum Activated by Additions of Ga–In–Sn Eutectic Alloy, Bismuth, or Antimony",Materials Science,2020,10.1007/s11003-020-00336-x,medium,0.62,,https://consensus.app/papers/details/a987f35e413a54e1bbe63ec6ea89522d/,,
manilevich2021a,mechanically_activated,Particle size,2021,Manilevich et al.,Studies of Mechanochemically Activated Aluminum Powders for Generating Hydrogen from Water,Powder Metallurgy and Metal Ceramics,2021,10.1007/s11106-021-00237-x,medium,0.73,,https://consensus.app/papers/details/75036aad0a0a5a6689b1633cfecbb7be/,,
manilevich2021b,al_alloy,Alloy/Activator,2021,Manilevich et al.,Activated aluminum for hydrogen generation from water,Hydrogen-Based Energy Storage (book chapter),2021,,UNRESOLVED,0.57,,https://consensus.app/papers/details/36fd0e8702415edc949781ff46f42818/,,book chapter not cleanly in Crossref; do NOT confuse with manilevich2021a = 10.1007/s11106-021-00237-x
martinezv2026,waste_al,Particle size,2026,Martínez-Vargas et al.,A Simple Study of Hydrogen Production from Recycled Aluminum Microparticles in Alkaline Media,Preprints.org (preprint),2026,10.20944/preprints202602.1460.v1,medium (preprint),0.59,,https://consensus.app/papers/details/e42642feb5de578e964d0c4c7454df9e/,,2026 preprint; likely current canonical version
maulana2023,waste_al,Kinetics/SCM,2023,Maulana et al.,Hydrogen Production from Waste Aluminum Foil AA1235 Using the Aluminum-Water Reaction Method with Thickness Variations,Advanced Materials Research,2023,10.4028/p-587vv6,medium,0.66,,https://consensus.app/papers/details/5bc47dfb0b3a5b9d9e43491ce610fe76/,,
meng2023,al_alloy,Alloy/Activator,2023,Meng et al.,Hydrogen production performance of an Al-Ga-In-Sn quaternary alloy,Materials Today Sustainability,2023,10.1016/j.mtsust.2022.100284,confirmed (bib),0.71,,https://consensus.app/papers/details/fe371ecd9e4a51bb896f9d49e4c6f153/,,
mezulis2023,waste_al,Alkali/Temperature,2023,Mezulis et al.,Studies on Water–Aluminum Scrap Reaction Kinetics in Two Steps and the Efficiency of Green Hydrogen Production,Energies,2023,10.3390/en16145554,medium,0.63,,https://consensus.app/papers/details/74a077ac12415f23bcc24a0494cf154a/,,
mohammed2025,liquid_metal_activated,Alloy/Activator,2025,Mohammed,Thermally sintered aluminum-gallium-indium microcomposites for hydrogen production through water splitting reaction,Fuel,2025,10.1016/j.fuel.2025.134479,medium,0.61,,https://consensus.app/papers/details/5275aa6169a65120858da8659cc69a70/,,
porciuncula2012,pure_al_alkali,Alkali/Temperature,2012,Porciúncula et al.,Production of hydrogen in the reaction between aluminum and water in the presence of NaOH and KOH,Brazilian Journal of Chemical Engineering,2012,10.1590/s0104-66322012000200014,medium,0.61,,https://consensus.app/papers/details/1f3f68bfeba15bbaa474ae2ce1b98407/,,
saroukanian2020,pure_al_alkali,Alkali/Temperature,2020,Sarou-Kanian et al.,Low temperature reactivity of aluminum nanopowders with liquid water,ECM 2007 proceedings (?),2020,,UNRESOLVED,0.4,,https://consensus.app/papers/details/0566690ac5335a899a77919b31319f9c/,,Crossref returned unrelated papers (Millot/boron); verify manually
singh2019,waste_al,Waste/Activation,2019,Singh et al.,Hydrogen production using waste aluminium dross,(unknown),2019,,UNRESOLVED,0.66,,https://consensus.app/papers/details/94245e13f0325547b6bf4944fbe87939/,,closest candidate 10.1007/s10163-019-00856-y (Meshram 2019) has an author mismatch; verify manually
sykhyi2024,pure_al_alkali,Alkali/Temperature,2024,Sykhyi et al.,Thermochemical effects in hydrogen production with a dissolvable aluminum anode system,Voprosy Khimii i Khimicheskoi Tekhnologii,2024,10.32434/0321-4095-2024-157-6-55-60,high,0.8,yes,https://consensus.app/papers/details/fae55a128acc53f385b5521c26af67ed/,,
testa2024,pure_al_alkali,Alkali/Temperature,2024,Testa et al.,Hydrogen production from aluminum reaction with NaOH/H2O solution: Experiments and insight into reaction kinetics,International Journal of Hydrogen Energy,2024,10.1016/j.ijhydene.2024.08.152,confirmed (bib),0.58,,https://consensus.app/papers/details/1c3d3e9a75c752068200a1175d3def8e/,,
trowell2022,pure_al_alkali,Particle size,2022,Trowell et al.,Hydrogen production rates of aluminum reacting with varying densities of supercritical water,RSC Advances,2022,10.1039/d2ra01231f,high,0.82,,https://consensus.app/papers/details/0688c81de2cc5e31bc207685104aadcd/,,
urbonav2024,waste_al,Waste/Activation,2024,Urbonavicius et al.,Enhanced Hydrogen Generation through Low-Temperature Plasma Treatment of Waste Aluminum for Hydrolysis Reaction,Materials,2024,10.3390/ma17112637,medium,0.65,,https://consensus.app/papers/details/98d03b19137f55c6a4f8d5b5faec3cb1/,,
wangyd2024,pure_al_alkali,Particle size,2024,Wang et al.,Experimental study on hydrogen production characteristics of millimeter aluminum spheres in sub/supercritical water,Renewable Energy,2025,10.1016/j.renene.2024.122221,medium,0.73,,https://consensus.app/papers/details/64a90d23055a5245829d5940a05e9ce6/,,
wu2025,mechanically_activated,Waste/Activation,2025,Wu et al.,Aluminum composites for rapid green hydrogen generation and their reaction rate enhancement mechanisms,Renewable Energy,2025,10.1016/j.renene.2025.122384,confirmed (bib),0.68,,https://consensus.app/papers/details/aef9fd3c8b835baaa78e0bd643a77d34/,,
xuan2023,mechanically_activated,Alkali/Temperature,2023,Xuan et al.,Rapid hydrogen generation from the reaction of aluminum/activated charcoal composite with alkaline solution,Journal of Alloys and Compounds,2023,10.1016/j.jallcom.2023.169611,medium,0.7,,https://consensus.app/papers/details/0c5632b718215e27b16f0237d55a5eb3/,,
zhang2024,pure_al_alkali,Particle size,2024,Zhang et al.,Hydrogen production from aluminum-water reactions at low Temperatures: based on an in-situ two powders of different particle sizes,Frontiers in Energy Research,2024,10.3389/fenrg.2024.1441155,medium,0.62,,https://consensus.app/papers/details/d898702f6d5f5189818281dffaf9f366/,,
zhu2021,al_alloy,Alloy/Activator,2021,Zhu et al.,Enhanced Hydrogen Generation Performance of Al-Rich Alloys by a Melting-Mechanical Crushing-Ball Milling Method,Materials,2021,10.3390/ma14247889,medium,0.67,,https://consensus.app/papers/details/34714c2cb5e9505b936167ec70e70ee5/,,
