citekey,doi,system_class,has_pdf,has_md_text,quality_tier_provisional,source_batch,legit_access_todo,needs_ocr
godart2019,10.1016/j.ijhydene.2019.03.140,liquid_metal_activated,Y,Y,A,1-initial,verify,
razavi2013,10.1016/j.ijhydene.2012.10.106,mechanically_activated,Y,Y,A,1-initial,verify,
xiao2020,10.1016/j.jallcom.2019.152800,mechanically_activated,Y,Y,A,1-initial,verify,
irankhah2018,10.1016/j.ijhydene.2018.07.014,mechanically_activated,Y,Y,A,1-initial,verify,
xiao2018,10.1016/j.energy.2018.05.201,mechanically_activated,Y,Y,A,1-initial,verify,
preez2018,10.1016/j.ijhydene.2018.09.133,mechanically_activated,Y,Y,A,1-initial,verify,
preez2019,10.1016/j.ijhydene.2019.06.154,mechanically_activated,Y,Y,A,1-initial,verify,
davies2022eni,10.3390/en15072356,mechanically_activated,Y,Y,B,3-mdpi-oa,,
davies2022mat,10.3390/ma15031197,mechanically_activated,Y,Y,B,3-mdpi-oa,,
guan2019,10.1016/j.energy.2019.116107,mechanically_activated,Y,Y,A,1-initial,verify,
chen2020,10.1016/j.ijhydene.2020.03.027,mechanically_activated,Y,Y,A,1-initial,verify,
liuzh2021,10.1016/j.ijhydene.2021.10.113,mechanically_activated,Y,Y,A,1-initial,verify,
martinezv2026,10.3390/hydrogen7020055,waste_al,Y,Y,B,3-mdpi-oa,,
fadhilah2023,10.9767/bcrec.20041,waste_al,Y,Y,B,2-scihub,,
mezulis2023,10.3390/en16145554,waste_al,Y,Y,B,2-scihub,,
david2012,10.1016/j.jhazmat.2012.01.064,waste_al,Y,Y,A,1-initial,verify,
yolcular2020,10.1080/15567036.2020.1822468,waste_al,Y,Y,B,1-initial,verify,
buryakov2023met,10.3390/met13020185,waste_al,Y,Y,B,3-mdpi-oa,,
urbonav2024,10.3390/ma17112637,waste_al,Y,Y,B,2-scihub,,
ho2016,10.1016/j.ijhydene.2015.11.083,waste_al,Y,Y,A,1-initial,verify,
knoks2025,10.3390/app15052640,waste_al,Y,Y,B,3-mdpi-oa,,
gupta2025,10.1007/s40243-024-00287-2,waste_al,Y,Y,B,2-scihub,verify,
tekade2020,10.1016/j.ijhydene.2019.09.026,waste_al,Y,Y,A,1-initial,verify,
changying2017,10.1016/s1875-5372(17)30210-2,al_alloy,Y,Y,B,4-consensus,yes,
fischman2020,10.1016/j.ijhydene.2020.04.161,liquid_metal_activated,Y,Y,A,4-consensus,,
ilyukhina2012,10.1016/j.ijhydene.2012.02.175,liquid_metal_activated,Y,Y,A,4-consensus,yes,
kravchenko2005,10.1016/j.jallcom.2004.11.065,al_alloy,Y,Y,A,4-consensus,yes,
lu2017,10.1039/c7ra01839h,liquid_metal_activated,Y,Y,A,4-consensus,,
meroueh2020,10.1021/acsaem.0c02175,liquid_metal_activated,Y,Y,B,4-consensus,yes,
nizovskii2017,10.1515/cse-2017-0010,liquid_metal_activated,Y,Y,B,4-consensus,,
parmuzina2009,10.1007/s11172-009-0045-z,liquid_metal_activated,Y,Y,B,4-consensus,yes,
slocum2020,10.1016/j.apenergy.2020.115712,liquid_metal_activated,Y,Y,A,4-consensus,yes,
